"recording.title","recording.artist.credit.phrase","number"
"Ride Wit U","Joe featuring G‐Unit",1
"Ride Wit U","Joe Thomas feat. G‐Unit",1
"Ride Wit U (feat. G‐Unit)","Joe & G‐Unit",1
"Ride Wit U (instrumental)","Joe feat. G‐Unit",1
"Right Where I Need to Be","Gary Allan",1
"Right Where I Need To Be","Gary Allan",1
"Right Where I Need to Be (live)","Gary Allan",1
"Roc the Mic (remix)","Freeway",1
"Roc Ya Body ""Mic Check 1, 2""","MVP feat. Stagga Lee",1
"Rock The Boat (ATYYA Remix)","Aaliyah",1
"Rock The Boat (Boarder's Choice Mix)","Aaliyah",1
"Rock the Boat (club mix by Mixzo)","Aaliyah",1
"Rock the Boat (P.A.F.F. remix)","Aaliyah",1
"Rock the Boat (Tina Turnup remix)","Aaliyah",1
"Rock Wit U (Why 82 remix)","Ashanti",1
"Rock You Baby","Toby Keith",1
"Rock You Baby (single version)","Toby Keith",1
"Roll Out (My Business)","Ludacris",1
"Roll Out (My Business) (Mainstream edit)","Ludacris",1
"Roll Wit M.V.P. (A Cappella)","Stagga Lee",1
"Roll Wit M.V.P. (Call Out Hook)","Stagga Lee",1
"Roll Wit M.V.P. (Instrumental)","Stagga Lee",1
"Roll Wit MVP","Stagga Lee",1
"Rollercoaster (Amen UK full vocal mix)","B*Witched",1
"Rollercoaster (Silk’s Uplifting 7″ mix)","B*Witched",1
"Rollercoaster (Silk’s Uplifting extended mix)","B*Witched",1
"Rollercoaster (snipped)","B*Witched",1
"Rollin","Limp Bizkit",1
"Rollin' (Air Raid Vehicle)","Limp Bizkit",1
"Rollin' (DJ Monk vs The Track Mack Remix)","Limp Bizkit",1
"Rollin' (Jackal & Hyde remix)","Limp Bizkit",1
"Rollin (Air Raid Vehicle)","Limp Bizkit",1
"Rollin’ (Dead Man mix)","Limp Bizkit",1
"Rollin’ (DJ Monk‐vs‐The Track Mack remix)","Limp Bizkit",1
"Rollin’ (remix)","Limp Bizkit",1
"Rosa Parks","Outkast",1
"Rosa Parks (acappella)","OutKast",1
"Rosa Parks (Jay-Z mix)","OutKast",1
"Rosa Parks (w/intro)","OutKast",1
"Roses (acapella)","Outkast",1
"Roses (Clean)","OutKast",1
"Roses (dirty version)","OutKast",1
"Roses (instrumental)","OutKast",1
"Roses (Radio Edit)","OutKast",1
"Roses (UK radio edit)","OutKast",1
"Round and Round","Mr. Airplane Man",1
"Round and Round (remix)","Jonell & Method Man",1
"Round and Round (remix)","Jonell feat. Method Man",1
"Ruff Ryders' Anthem","DMX",1
"Ruff Ryders' Anthem (instrumental)","DMX",1
"Ruff Ryders' Anthem (live)","DMX",1
"Ruff Ryders' Anthem (Re-Recorded / Remastered)","DMX",1
"Ruff Ryders Anthem (DJ Clue remix)","DMX",1
"Ruff Ryders Anthem (radio edit)","DMX",1
"Ruff Ryders’ Anthem (dirty remix)","DMX",1
"Ruff Ryders’ Anthem (Electro Ryder remix)","DMX",1
"Ruff Ryders’ Anthem (mega mix)","DMX",1
"Run (album version)","Collective Soul",1
"Run (Album Version)","Collective Soul",1
"Run (Edit Version)","Collective Soul",1
"Running Away (Acoustic Version - Non-Album Bonus Track)","Hoobastank",1
"Running Away (acoustic)","Hoobastank",1
"Running Away (album version)","Hoobastank",1
"Running Away (live 9-29-08 the Wiltern, Los Angeles)","Hoobastank",1
"Running Away (Live from The Wiltern)","Hoobastank",1
"Ryde or Die, Chick","The LOX feat. Timbaland & Eve",1
"Salt Shaker","Ying Yang Twins feat. Lil’ Jon & The East Side Boyz",1
"Salt Shaker (acapella)","Ying Yang Twins feat. Lil Jon & The East Side Boyz",1
"Salt Shaker (clean)","Ying Yang Twins feat. Lil Jon & The East Side Boyz",1
"Salt Shaker (dirty)","Ying Yang Twins feat. Lil Jon & The East Side Boyz",1
"Same Script, Different Cast","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast","Whitney Houston duet with Deborah Cox",1
"Same Script, Different Cast (Call Out Research Hook)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Friburn & Urik Cover Your Ears Mix)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (full version)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Joe Smooth Slang Club Mix)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Jonathan Peters' Radio Edit)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Jonathan Peters' Soundfactory Dub)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Jonathan Peters' Unreleased Club Mix)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Jonathan Peters' Vocal Club Mix)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Mel Hammond Beautiful Slang Dub)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Pumpin’ Dolls Vocal Anthem Mix)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (radio edit)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Thunderpuss Club Anthem Mix)","Whitney Houston & Deborah Cox",1
"Same Script, Different Cast (Victor Romeo Slang Vocal Mix)","Whitney Houston & Deborah Cox",1
"sandstorm","Darude",1
"Satisfy You (radio edit)","Puff Daddy feat. R. Kelly",1
"Saturday (Oooh Oooh!)","Ludacris feat. Sleepy Brown",1
"Saturday (Oooh! Oooh!)","Ludacris feat. Sleepy Brown",1
"Saturday (Oooh! Ooooh!)","Ludacris feat. Sleepy Brown",1
"Saturday (video)","Ludacris feat. Sleepy Brown",1
"Save a Horse (Ride a Cowboy) (dance mix)","Big & Rich",1
"Save a Horse (Ride a Cowboy) (karaoke)","Big & Rich",1
"Say I Yi Yi (remix)","Ying Yang Twins",1
"Say Yes (a cappella)","Floetry",1
"Say Yes (alternate version)","Floetry",1
"Say Yes (instrumental)","Floetry",1
"Say Yes (intro) (live)","Floetry",1
"Say Yes (live)","Floetry",1
"Say Yes (radio edit)","Floetry",1
"Say Yes (Timberland remix)","Floetry",1
"Selfish","John Legend",1
"Selfish (a cappella)","Slum Village Featuring Kanye West & John Legend",1
"Selfish (album version)","Slum Village Featuring Kanye West & John Legend",1
"Selfish (instrumental)","Slum Village Featuring Kanye West & John Legend",1
"Selfish (radio version)","Slum Village Featuring Kanye West & John Legend",1
"Separated (acappella)","Avant",1
"Separated (instrumental)","Avant",1
"Separated (LP version)","Avant",1
"Separated (radio edit)","Avant",1
"Set it Off","Juvenile",1
"Sexual (Afterlife remix)","Amber",1
"Sexual (clip)","Amber",1
"Sexual (KLM dub)","Amber",1
"Sexual (Sample)","Amber",1
"Shadow (1992)","CJ Simpson",1
"Shake That Monkey","Too Short feat. Lil Jon & The East Side Boyz",1
"Shake That Sh** (radio edit)","Shawnna & Ludacris",1
"Shake ya Tailfeather","Nelly feat. P. Diddy & Murphy Lee",1
"Shake Ya Tailfeather (Corporate remix)","P. Diddy, Nelly & Murphy Lee",1
"Shake Ya Tailfeather (radio edit)","Nelly, P. Diddy & Murphy Lee",1
"Shake Ya Tailfeather (Xtra clean radio edit)","Nelly, P. Diddy & Murphy Lee",1
"Shake Your Bon-Bon (12"" Almighty mix)","Ricky Martin",1
"Shake Your Bon-Bon (Eddie's club radio edit)","Ricky Martin",1
"Shake Your Bon-Bon (Eddie's Rhythm radio mix)","Ricky Martin",1
"Shake Your Bon-Bon (Eddie Arroyo Club Radio Edit)","Ricky Martin",1
"Shake Your Bon‐Bon","Ricky Martin",1
"Shake Your Bon Bon","Ricky Martin",1
"Shape of My Heart (Soul Solution radio mix)","Backstreet Boys",1
"She'll Leave You With A Smile","George Strait",1
"She's A Bitch (Acappella)","Missy ""Misdemeanor"" Elliott",1
"She's a Bitch (clean version)","Missy Elliott",1
"She's a Bitch (Ghislain Poirier remix)","Missy Elliott",1
"She's A Bitch (Instrumental)","Missy ""Misdemeanor"" Elliott",1
"She's All I Ever Had (Hex Hector radio mix)","Ricky Martin",1
"She's All I Ever Had (Pablo Flores club mix (English))","Ricky Martin",1
"She's All I Ever Had (Pablo Flores radio (English))","Ricky Martin",1
"She's All I Got (Remix) (feat. Fabolous and E40)","Jimmy Cozier",1
"She's Always Right","Clay Walker",1
"She's in Love","Mark Wills",1
"She's Not Just a Pretty Face (5.1 mix)","Shania Twain",1
"She's So High (acoustic version Recorded at World Cafe)","Tal Bachman",1
"She's So High (Spot Mercedes C Sport Coupé)","Tal Bachman",1
"She bangs","Ricky Martin",1
"She Bangs (English radio edit)","Ricky Martin",1
"She Bangs (Ferrero / Del Moral Latin Spanish edit)","Ricky Martin",1
"She Bangs (Obadam's Afro-Bang mix (Spanish))","Ricky Martin",1
"She Bangs (Obadam's Afro-Bang mix)","Ricky Martin",1
"She Bangs (Obadam's Spanglish radio edit)","Ricky Martin",1
"She Bangs (Obadam’s English radio edit)","Ricky Martin",1
"She Bangs (Obamdam’s remix)","Ricky Martin",1
"She Bangs (Por Arriba, Por Abajo)","Ricky Martin",1
"She Bangs (radio mix)","Ricky Martin",1
"She Bangs (Spanish Radio Edit)","Ricky Martin",1
"She Bangs (Spanish version)","Ricky Martin",1
"She Couldn't Change me","Montgomery Gentry",1
"She Hates Me (clean version/short end)","Puddle of Mudd",1
"She Hates Me (very clean version/short end)","Puddle of Mudd",1
"She Hates Me (Video)","Puddle of Mudd",1
"She Loves Me Not (album version)","Papa Roach",1
"She Loves Me Not (Live & Murderous in Chicago)","Papa Roach",1
"She Loves Me Not (Live)","Papa Roach",1
"She Loves Me Not (radio version)","Papa Roach",1
"She Misses Him","Tim Rushlow",1
"She Only Smokes When She Drinks","Joe Nichols",1
"She Thinks My Tractor's Sexy (Live)","Kenny Chesney",1
"She Thinks My Tractor’s Sexy","Kenny Chesney",1
"She Was","Mark Chesnutt",1
"She’ll Leave You With a Smile","George Strait",1
"She’s a Bitch (radio edit)","Missy Elliott",1
"She’s All I Ever Had (Pablo Flores radio edit)","Ricky Martin",1
"She’s All I Got","Jimmy Cozier",1
"She’s Always Right","Clay Walker",1
"She’s so High (Re‐Recorded)","Tal Bachman",1
"She’s So High (re‐recorded)","Tal Bachman",1
"Shorty Wanna Ride (club mix)","Young Buck",1
"Shorty Wanna Ride (Texas Blend)","Young Buck",1
"Show Me How to Live (live in Cuba/2005)","Audioslave",1
"Show Me How to Live (T Ray remix)","Audioslave",1
"Show Me The Meaning Of Being Lonely","Backstreet Boys",1
"Show Me the Meaning of Being Lonely (live in Japan)","Backstreet Boys",1
"Show Me the Meaning of Being Lonely (live)","Backstreet Boys",1
"Show Me the Meaning of Being Lonely (remix)","Backstreet Boys",1
"Show Me the Meaning of Being Lonely (Soul Solution mixshow edit)","Backstreet Boys",1
"Shut Up","Trick Daddy feat. Deuce Poppito, Trina, CO",1
"Sick of Being Lonely (acappella)","Field Mob",1
"Sick of Being Lonely (Dirty South mix)","Field Mob",1
"Sick of Being Lonely (instrumental)","Field Mob",1
"Signs Of Love Makin'","Tyrese",1
"Silly Ho","TLC",1
"Silly Ho (album version)","TLC",1
"Silly Ho (instrumental)","TLC",1
"Simon Says","J.Period feat. Pharoahe Monch",1
"Simon Says","Simon Dominic feat. Pharoahe Monch",1
"Simon Says (clean radio version)","Pharoahe Monch",1
"Simon Says (HFTC remix)","Pharoahe Monch",1
"Simon Says (instrumental)","Pharoahe Monch",1
"Simon Says (remix)","Pharoahe Monch",1
"Simon Says (Roni Size and DJ Die remix)","Pharoahe Monch",1
"Simple Kind of Life (acoustic)","No Doubt",1
"Simply Being Loved","BT",1
"Simply Being Loved (Somnambulist) (Burufunk remix)","BT",1
"Simply Being Loved (Somnambulist) (Junkie XL dub mix)","BT",1
"Simply Being Loved (Somnambulist) (Junkie XL vocal mix (edit))","BT",1
"Simply Being Loved (Somnambulist) (Junkie XL vocal mix)","BT",1
"Simply Being Loved (Somnambulist) (Junkie XL vocal remix)","BT",1
"Simply Being Loved (Somnambulist) (Sander Kleinenberg's Convertible Mix)","BT",1
"Simply Being Loved (Somnambulist) (Sander Kleinenberg’s Convertible mix (edit))","BT",1
"Simply Being Loved (Somnambulist) (Sander Kleinenberg’s Convertible mix)","BT",1
"Since U Been Gone","Clark Clarkson",1
"Since U Been Gone (AOL live)","Kelly Clarkson",1
"Since U Been Gone (Chunky Dip Bootleg)","Kelly Clarkson",1
"Since U Been Gone (Jason Nevins club mixshow)","Kelly Clarkson",1
"Since U Been Gone (Jason Nevins dub)","Kelly Clarkson",1
"Since U Been Gone (Jason Nevins Mix Show)","Kelly Clarkson",1
"Since U Been Gone (Jason Nevins radio edit)","Kelly Clarkson",1
"Since U Been Gone (Napster live)","Kelly Clarkson",1
"Since U Been Gone (video)","Kelly Clarkson",1
"Sing For The Moment","Eminem",1
"Sing for the Moment (a cappella)","Eminem",1
"Sing for the Moment (clean radio edit)","Eminem",1
"Sing for the Moment (DJ Rhyme-Zee mix)","Eminem",1
"Sing for the Moment (instrumental)","Eminem",1
"Sing for the Moment (Rukiz remix)","Eminem",1
"Single for the Rest of My Life","Isyss",1
"Sitting Home (album version)","Total",1
"Sitting Home (feat. Shyne) (remix)","Total",1
"Sitting Home (instrumental)","Total",1
"Sitting Home (Remix Instrumental)","Total",1
"Six‐Pack Summer","Phil Vassar",1
"Six Pack Summer","Phil Vassar",1
"Slam Dunk","Five",1
"Slave To The Habit","Shane Minor",1
"Sleepwalker (acoustic)","The Wallflowers",1
"Sleepwalker (Andy Wallace remix)","The Wallflowers",1
"Sleepwalker (demo)","The Wallflowers",1
"Sleepwalker (Itunes Originals version)","The Wallflowers",1
"Slither","Revolver",1
"Slither (Demo)","Velvet Revolver",1
"Slither (Live at El Rey Theatre)","Velvet Revolver",1
"Slow Jamz","Kanye West feat. Twista and Jamie Foxx",1
"Slow Jamz","Twista f. Kanye West & Jamie Foxx",1
"Slow Jamz","Twista featuring Kanye West & Jamie Foxx",1
"Slow Jamz (Collipark remix)","Twista feat. Kanye West & Jamie Foxx",1
"Slow Jamz (edited)","Twista featuring Kanye West and Jamie Foxx",1
"Slow Jamz (explicit)","Twista featuring Kanye West and Jamie Foxx",1
"Slow Motion","Juvenile & Soulja Slim",1
"Slow Motion","Soulja Slim",1
"Slow Motion (clean radio edit)","Juvenile feat. Soulja Slim",1
"Smile (a cappella)","Vitamin C feat. Lady Saw",1
"Smile (album version)","Vitamin C feat. Lady Saw",1
"Smile (Captain Mix)","Lonestar",1
"Smile (dub mix)","Vitamin C feat. Lady Saw",1
"Smile (LP version)","Vitamin C feat. Lady Saw",1
"Smile (Mr. Mig's club mix)","Vitamin C feat. Lady Saw",1
"Smile (Mr. Mig's extended mix)","Vitamin C feat. Lady Saw",1
"Smile (Mr. Mig's radio edit)","Vitamin C feat. Lady Saw",1
"Smile (radio edit)","Vitamin C feat. Lady Saw",1
"Smile (Rapless edit)","Vitamin C feat. Lady Saw",1
"Smoke Rings in the Dark","Gary Allan",1
"Smoke Rings In The Dark","Gary Allan",1
"Smooth","Carlos Santana feat. Rob Thomas",1
"Smooth (5.1 mix)","Santana featuring Rob Thomas",1
"Smooth (Chris Staropoli remix)","Santana feat. Rob Thomas",1
"Smooth (instrumental)","Santana feat. Rob Thomas",1
"Smooth Criminal (acoustic)","Alien Ant Farm",1
"Smooth Criminal (Die Krupps remix)","Alien Ant Farm",1
"Smooth Criminal (snippet)","Alien Ant Farm",1
"Snake","R. Kelly featuring Big Tigger",1
"Snake (5.1 mix)","R. Kelly feat. Big Tigger",1
"Snake (radio edit)","R. Kelly & Big Tigger",1
"Snake (radio edit)","R. Kelly feat. Big Tigger",1
"Snoop Dogg (clean)","Snoop Dogg",1
"Snoop Dogg (explicit)","Snoop Dogg",1
"Snoop Dogg (instrumental)","Snoop Dogg",1
"Snoop Dogg (What’s My Name? Pt. 2)","Snoop Dogg",1
"So Cold (acoustic)","Breaking Benjamin",1
"So Cold (radio edit)","Breaking Benjamin",1
"So Complicated (AC mix)","Carolyn Dawn Johnson",1
"So Far Away (radio edit)","Staind",1
"So Gone (radio mix)","Monica",1
"So Gone (remix)","Monica",1
"So In Love With Two","Mikaila",1
"So in Love With Two (Hex Hector club mix)","Mikaila",1
"So Sexy","R. Kelly",1
"So Sexy (a cappella)","Twista feat. R. Kelly",1
"So Sexy (Brainy Blend)","Twista feat. R. Kelly",1
"So Sexy (Chromeo remix)","Twista feat. R. Kelly",1
"So Sexy, Chapter II (Like This)","Twista feat. R. Kelly",1
"So Yesterday (dance mix)","Hilary Duff",1
"So Yesterday (radio remix)","Hilary Duff",1
"So Yesterday (remix)","Hilary Duff",1
"So Yesterday (THE CONCERT)","Hilary Duff",1
"So Yesterday (Thunderpuss mix)","Hilary Duff",1
"So Yesterday (Thunderpuss remix)","Hilary Duff",1
"So Yesterday (video)","Hilary Duff",1
"Soak up the Sun","Sheryl Crow",1
"Soak Up The Sun","Sheryl Crow",1
"Soldier","Destiny's Child feat. T.I. & Lil' Wayne",1
"Soldier's Heart","R. Kelly",1
"Soldier's Heart (instrumental)","R. Kelly",1
"Soldier (JS remix)","Destiny’s Child featuring T.I. and Lil Wayne",1
"Some Cut (clean a capella)","Trillville feat. Cutty",1
"Some Cut (Explicit version)","Trillville Feat Cutty",1
"Some Days You Gotta Dance (live)","Dixie Chicks",1
"Somebody","Reba McEntire",1
"Somebody Like You (live at live 8, Benjamin Franklin Parkway, Philadelphia, 2nd July 2005)","Keith Urban",1
"Somebody Like You (radio remix)","Keith Urban",1
"Somebody Like You (remix)","Keith Urban",1
"Someday","Gamma Ray",1
"Someday (live acoustic)","Nickelback",1
"Someday Out of the Blue (End Credits)","Elton John",1
"Someday Out of the Blue (theme from El Dorado)","Elton John",1
"Someone to Call My Lover","Janet",1
"Someone to Call My Lover (Hex Hector/Mac Quayle club mix)","Janet",1
"Someone to Call My Lover (Hex Hector/Mac Quayle radio mix)","Janet",1
"Someone to Call My Lover (single edit)","Janet",1
"Someone to Call My Lover (So So Def remix)","Janet",1
"Someone to Call My Lover (The Velvet mix)","Janet",1
"Someone To Love You","Ruff Endz",1
"Something Happened On The Way To Heaven","Deborah Cox",1
"Something Happened on the Way to Heaven (Valentin mix radio edit)","Deborah Cox",1
"Something Happened on the Way to Heaven (Valentin mix)","Deborah Cox",1
"Son of a Gun (I Betcha Think This Song Is About You)","Janet Jackson & Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (Album Version - Edited)","Janet Jackson With Carly Simon",1
"Son of a Gun (I Betcha Think This Song Is About You) (clean radio album edit)","Janet Jackson with Carly Simon",1
"Son of a Gun (I Betcha Think This Song Is About You) (Cottonbelly remix)","Janet with Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (Cottonbelly Remix)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (P. Diddy Extended Version - Edited)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (P. Diddy Instrumental)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (Rock Instrumental)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (Rock Remix)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (Route 80 Instrumental)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (Route 80 Remix)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (The Original Flyte Time Remix Instrumental)","Janet Jackson With Carly Simon",1
"Son Of A Gun (I Betcha Think This Song Is About You) (The Original Flyte Time Remix Video Version)","Janet Jackson With Carly Simon",1
"Son of a Gun (I Betcha Think This Song Is About You) (The original Flyte Tyme remix)","Janet Jackson feat. Missy Elliott with Carly Simon",1
"Song for the Lonely (Almighty mix)","Cher",1
"Song for the Lonely (Almighty radio edit)","Cher",1
"Song for the Lonely (Almighty radio mix)","Cher",1
"Song for the Lonely (Illicit radio edit)","Cher",1
"Song for the Lonely (Illicit vocal dub)","Cher",1
"Song for the Lonely (Illicit vocal mix)","Cher",1
"Song for the Lonely (ThunderDUB)","Cher",1
"Song for the Lonely (Thunderpuss club mix)","Cher",1
"Song for the Lonely (Thunderpuss dirty dub)","Cher",1
"Song for the Lonely (Thunderpuss radio edit)","Cher",1
"Sorry 2004 (acapella)","Ruben Studdard",1
"Sorry 2004 (call out hook)","Ruben Studdard",1
"Sorry 2004 (instrumental)","Ruben Studdard",1
"Soul Sista (instrumental)","Bilal",1
"Souljas (album a cappella)","Master P",1
"Souljas (Album Version)","Master P",1
"Souljas (album)","Master P",1
"Souljas (Instrumental Version)","Master P",1
"Souljas (instrumental)","Master P",1
"Souljas (radio a cappella)","Master P",1
"Souljas (Radio Version)","Master P",1
"Souljas (radio)","Master P",1
"Sour Girl (acoustic)","Stone Temple Pilots",1
"Sour Girl (live)","Stone Temple Pilots",1
"South Side","Gwen Stefani",1
"South Side (edit)","Moby featuring Gwen Stefani",1
"South Side (Edit)","Gwen Stefani",1
"South Side (Hybrid Dishing Pump remix)","Moby featuring Gwen Stefani",1
"South Side (Hybrid Dishing Pump Remix)","Moby Featuring Gwen Stefani",1
"South Side (single version)","Moby featuring Gwen Stefani",1
"South Side (Single Version)","Moby Featuring Gwen Stefani",1
"Southern Gul","Erykah Badu feat. Rahzel",1
"Southern Hospitality (call out research hook)","Ludacris",1
"Southern Hospitality (instrumental)","Ludacris",1
"Southside","Lloyd f. Ashanti",1
"Southside","Lloyd with Ashanti",1
"Southside (A Cappella)","Lloyd feat. Ashanti",1
"Southside (Instrumental)","Lloyd feat. Ashanti",1
"Spend My Life With You","Eric Benét feat. Tamia",1
"Spin (acoustic version)","Lifehouse",1
"Spin (Acoustic Version)","Lifehouse",1
"Spin (Acoustic)","Lifehouse",1
"Spin (album version)","Lifehouse",1
"Splash Waterfalls (call out hook)","Ludacris",1
"Splash Waterfalls (instrumental)","Ludacris",1
"Splash Waterfalls (radio)","Ludacris",1
"Splash Waterfalls (Screwed)","Ludacris",1
"Splash Waterfalls (Whatever You Want remix) (Call Out hook)","Ludacris",1
"Splash Waterfalls (Whatever You Want remix) (instrumental)","Ludacris",1
"Stacy’s Mom","Fountains of Wayne",1
"Stacy’s Mom (clip)","Fountains of Wayne",1
"Stacy’s Mom (extract)","Fountains of Wayne",1
"Stan","Eminem featuring Dido",1
"Stan","Eminem, DJ Haze & DJ Capcom ft. Dido",1
"Stan (director’s version)","Eminem featuring Dido",1
"Stan (Drum&Bass mix part 1)","Eminem feat. Dido",1
"Stan (Drum&Bass mix part 2)","Eminem feat. Dido",1
"Stan (live, 2002-10-07: Saturday Night Live)","Eminem feat. Dido",1
"Stand Up","Ludacris featuring Shawnna",1
"Stand Up","Ludacris Featuring Shawnna",1
"Stand Up (remix)","Kanye West feat. Ludacris & Shawnna",1
"Standing Still (Juanjo Martin 2013 remix)","Jewel",1
"Standing Still (live acoustic version)","Jewel",1
"Standing Still (live at Sessions@AOL)","Jewel",1
"Standing Still (Pure Shores Remix)","Jewel",1
"Starry Eyed Surprise","Oakenfold feat. Shifty Shellshock",1
"Starry Eyed Surprise","Paul Oakenfold Feat. Shifty Shellshock",1
"Start the Commotion","Wiseguys",1
"Start the Commotion (full length)","The Wiseguys",1
"Start the Commotion (Full Length)","The Wiseguys",1
"Start the Commotion (radio edit)","The Wiseguys",1
"Stay or Let it Go","Brian McKnight",1
"Stay Or Let It Go","Brian McKnight",1
"Stay the Night","IMx",1
"Stay the Night","IMX",1
"Stay the Night (Crazy Status mix - main feat. Rara)","IMx",1
"Stay the Night (Crazy Status mix - No Rap)","IMx",1
"Stay the Night (feat. Jay Z.)","iMX",1
"Stay the Night (instrumental)","iMX",1
"Stay the Night (LDS remix feat. T Rex)","IMx",1
"Stay the Night (radio edit Without Rap)","iMX",1
"Stay the Night (remix)","iMX",1
"Stay The Same","Joey McIntyre",1
"Stay the Same (Tony Moran extended club mix)","Joey McIntyre",1
"Stay the Same (Tony Moran radio remix)","Joey McIntyre",1
"Stay the Same (Tony Moran remix instrumental)","Joey McIntyre",1
"Stays in Mexico (live at live 8, Benjamin Franklin Parkway, Philadelphia, 2nd July 2005)","Toby Keith",1
"Steal my Sunshine","LEN",1
"Step Daddy (remix)","Hitman Sammy Sam",1
"Step Daddy (Street Tracks remix)","Hitman Sammy Sam",1
"Step In The Name Of Love","R. Kelly",1
"Step in the Name of Love (5.1 mix)","R. Kelly",1
"Step in the Name of Love (live version)","R. Kelly",1
"Step in the Name of Love (radio edit)","R. Kelly",1
"Step in the Name of Love (remix radio edit)","R. Kelly",1
"Step in the Name of Love (remix) (5.1 mix)","R. Kelly",1
"Step in the Name of Love (Tom Neville's Jazz Rocket mix)","R. Kelly",1
"Steve McQueen (album version)","Sheryl Crow",1
"Steve McQueen (live Radio Portugal)","Sheryl Crow",1
"Steve McQueen (Live)","Sheryl Crow",1
"Still ’Dre","Dr. Dre & Snoop Dogg",1
"Still Ballin’ (clean)","2Pac featuring Trick Daddy",1
"Still Ballin’ (instrumental)","2Pac featuring Trick Daddy",1
"Still Ballin’ (Nitty remix)","2Pac featuring Trick Daddy",1
"Still D.R.E.","Dr. Dre featuring Snoop Dogg",1
"Still D.R.E.","Snoop Dogg",1
"Still Dre","Snoop Dogg",1
"Still DRe","Dr. Dre feat. Snoop Dogg",1
"Still Fly (radio edit clean)","Big Tymers",1
"Still Frame (re-recorded)","Trapt",1
"Still in Love","Teena Marie feat. Baby",1
"Still In Love","Baby",1
"Still in My Heart","Tracie Spencer",1
"Still In My Heart","Tracie Spencer",1
"Still on your Side","BBMak",1
"Still on Your Side (Artful Dodger mix)","BBMak",1
"Stingy (Andy & The Lamboy’s rhythm mix)","Ginuwine",1
"Stole (5.1 mix)","Kelly Rowland",1
"Stole (5am remix)","Kelly Rowland",1
"Stole (album version)","Kelly Rowland",1
"Stole (Azza Nu Soul mix)","Kelly Rowland",1
"Stole (Bear Who? Nu Dnb mix)","Kelly Rowland",1
"Stole (Dreambrotha mix)","Kelly Rowland",1
"Stole (H&D Nu Soul mix)","Kelly Rowland",1
"Stole (La Nu Soul mix)","Kelly Rowland",1
"Stole (Maurice's Nu Soul mix)","Kelly Rowland",1
"Stole (Pop edit)","Kelly Rowland",1
"Storm","Jay‐Z",1
"Storm","Lenny Kravitz feat. Jay‐Z",1
"Storm","Lenny Kravitz feat. JAY‐Z",1
"Storm (Just Blaze remix)","Lenny Kravitz feat. Jay‐Z",1
"Storm (Just Blaze remix)","Lenny Kravitz featuring JAY‐Z",1
"Storm (Remix Vocal Up)","Lenny Kravitz feat. JAY‐Z",1
"Stranger In My House","Tamia",1
"Stranger In My House (H2Q Club Mix)","Tamia",1
"Stranger in My House (HQ2 club mix)","Tamia",1
"Stranger in My House (HQ2 club mix) (a cappella)","Tamia",1
"Stranger in My House (HQ2 extended mix)","Tamia",1
"Stranger in My House (HQ2 mix edit)","Tamia",1
"Stranger in My House (HQ2 radio mix Vocals Up)","Tamia",1
"Stranger in My House (Maurice's club radio mix)","Tamia",1
"Stranger in My House (Maurice's extended mix)","Tamia",1
"Stranger in My House (Maurice's mix edit)","Tamia",1
"Stranger in My House (Mike Rizzo mix)","Tamia",1
"Stranger in My House (original radio edit)","Tamia",1
"Stranger in My House (So So Def radio mix)","Tamia",1
"Stranger in My House (So So Def remix)","Tamia",1
"Stranger in My House (Thunderpuss club remix)","Tamia",1
"Stranger in My House (Thunderpuss extended mix)","Tamia",1
"Stranger in My House (Thunderpuss mix edit)","Tamia",1
"Stranger in My House (Thunderpuss radio mix)","Tamia",1
"Stranger in My House (Thunderpuss remix)","Tamia",1
"Stuck (Acoustic Performance)","Stacie Orrico",1
"Stuck (remix)","Stacie Orrico",1
"Stuck (Rhythmic mix)","Stacie Orrico",1
"Stuck (Thunderpuss club mix)","Stacie Orrico",1
